consensusClass,cor_pval,separationLevel,LumP,LumNS,LumU,Stroma-rich,Ba/Sq,NE-like
LumU,6.81631599079071e-78,0.216309595680651,0.565718134505465,0.543826550463439,0.581014671140637,0.476770909547066,0.412477514945689,0.227307559589512
LumU,1.08865877309228e-70,0.748111185780384,0.528358847031091,0.521561350851046,0.557868307677681,0.533249308617826,0.520118648886706,0.271921744847933
LumU,1.56397492675318e-77,0.629839484045288,0.512339049919672,0.526313947820406,0.579898497891015,0.541790241623246,0.512473624979722,0.307659825941644
Ba/Sq,3.4462832283314e-62,0.764188553375755,0.370968291318079,0.289086862728177,0.310977606595428,0.334055117132529,0.527985308124705,0.216758170980952
LumU,2.50530761452191e-66,0.671831671730557,0.512773294799626,0.497461877259592,0.542909832080928,0.498643239198152,0.481154305361549,0.247449181035607
Ba/Sq,2.63239231716121e-72,0.317722081876956,0.368110725046063,0.377142988916122,0.387618290816999,0.505766522144667,0.563224661050102,0.280373361387144
LumP,2.97196314350812e-103,0.682800969146876,0.650118006317919,0.562030857653709,0.553989638537555,0.488229315996358,0.475538415742718,0.159099977117936
LumP,1.36342508522225e-92,0.0689920063425391,0.623136994317212,0.601293538806241,0.617204313858565,0.472998773307816,0.332408929221151,0.234441205784835
Ba/Sq,2.92283683448506e-32,0.489511044461627,0.264865402177194,0.254533325820208,0.315428255986895,0.326598845393553,0.389976931343952,0.356218594850541
LumU,3.76428441141532e-67,0.181944401760677,0.524094022258113,0.497015239415191,0.545791241738559,0.356063401454158,0.250279748119305,0.190785308342881
LumP,2.1092133076441e-94,0.590427737112073,0.627912227302708,0.599695238569924,0.579847360692425,0.580395579159635,0.495836312084087,0.269974345673939
Ba/Sq,8.92942374254812e-100,0.639758866419067,0.306569067861338,0.275261878303119,0.26439718240092,0.417250212227039,0.641610403139202,0.1966236070834
Ba/Sq,1.67113962048341e-78,0.42397062024258,0.28424425824221,0.293011232712953,0.297913199213808,0.461031529131712,0.582894279303721,0.284780805179777
Stroma-rich,4.14443451518554e-62,0.220653609521937,0.361301775098185,0.390799957094146,0.36742838343874,0.527688902862416,0.494905351831358,0.226948567562577
Ba/Sq,8.17398524965427e-78,0.563888039749509,0.365235680155722,0.348142319462028,0.356202879761805,0.456686432820839,0.580770921759539,0.222289086713106
Ba/Sq,9.71679612058921e-58,0.575593829213813,0.307501135460509,0.291076044494354,0.317314050574373,0.396716885894869,0.511059965864071,0.293230839284856
