Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
hm35_CWZ3447.3,0.136081250480261,0,0,0,0,0.158263000552402,0.0126964788773951,0,0.0774299843812148,0,0.0751469298663135,0,0,0.281567720997451,0.0359283667676785,0.158416116256266,0.121126599045599,0.0144720402146353,0,0.10698144327636,0,0,0.78,0.0178736940395116,1.08629233968362,1.17810993071558
hm38_CWZ3447.3,0,0,0.0859160548779558,0,0,0.374774279248605,0,0,0.00190779633096881,0.110007198962777,0,0,0,0.127168294879285,0.0223110622511083,0,0.11906658024809,0,0.0315892973393382,0.00559316034718227,0.148642416815066,0,0.998,-0.104863435146689,1.12388554320128,1.02697614130038
hm4_CWZ3447.2,0.0776323163389745,0,0.0773514484834061,0,0.136511317130034,0,0,0.166913236269841,0,0,0.133509957255513,0,0.0452878920972467,0.356805901212838,0,0.109097751008185,0,0,0,0.0922180537823241,0,0,0.798,0.0157140199860555,1.09186705403692,1.19532787357836
hm40_CWZ3447.3,0.141539548760037,0,0,0,0.145440558110195,0.09924433223278,0,0.0360374836231326,0.00170403754089726,0,0.0899544857914111,0,0.189699596781027,0.10273399966216,0.0187946783149529,0.19350235474648,0,0.0904883032530177,0.0184367985131892,0.0992278993348641,0,0,0.402,0.0708934312025687,1.04996908636492,1.22680407666414
hm41_CWZ3447.3,0,0,0.0223075735095931,0.0846261912827728,0,0.549205594457934,0.138383887903365,0.0455120600733331,0,0,0.0228340219700276,0.015020744367943,0.0485636172335897,0,0.102745129906503,0.183772030809644,0.0912300911680725,0.111316492858679,0.0147678739732692,0,0.0351402823994154,0,0.088,0.135020637919106,1.03475771422008,1.46542559191414
hm42_CWZ3447.3,0,0.0490547821082121,0.00230023030173165,0,0.101643590547374,0.442161656931286,0,0,0.0968333905761655,0,0,0.173799088703273,0.0843449127663843,0,0,0,0,0,0.144892421558184,0,0,0,0.998,-0.119185939543386,1.18856859837264,1.09503007349261
hm43_CWZ3447.2,0,0.250848556165964,0,0.373590310838113,0,0.400710393324474,0,0.0637558357966541,0.0280811283680335,0,0,0.079653616314068,0.000100935428381826,0.0128347859576351,0.0209165699492831,0.0785088674517086,0,0.00844146816287183,0.271218356889977,0,0,0.00126332692994061,0,0.284142649588488,0.979610774941064,1.5899241515771
hm44_CWZ3447.2,0,0.319387924245723,0,0.0251857682017544,0,0.545422115810492,0.149947470255571,0.0489043168719268,0,0,0.0592608399324137,0,0.0388630857733644,0,0.0272487929058058,0.415784207520989,0,0.0217101197089578,0.200983689277717,0.0173549459280256,0,0,0.002,0.262184990856821,0.973104890790346,1.87005327643274
hm45_CWZ3447.2,0.171912792872094,0,0.0717865814474024,0,0,0.353266512273356,0,0.0801987883331917,0.208314512546483,0.0509456179049461,0,0.0897934408885859,0,0,0,0.0733976803220944,0,0.0413148897188957,0,0,0,0,0.998,-0.102885109585197,1.16459153519438,1.14093081630705
hm46_CWZ3447.3,0,0.114311180424366,0.0922438516425512,0,0.174792557042399,0.144990508548446,0,0,0.108071612577994,0,0.243144691074038,0,0.0349308153807591,0.154909091414693,0,0,0,0.010639182646228,0,0.0297967571798152,0.084853385799183,0,0.968,-0.0340117304809932,1.109088518221,1.19268363373047
hm47_CWZ3447.3,0,0.0107898855085084,0.090025052791498,0,0.0417253007976204,0.177716725771258,0.0548346036988369,0,0,0,0.0305969773269583,0,0.036826660114135,0.165278992261477,0.0012421998309802,0.222333096797413,0.241909590760581,0,0.0221021094026092,0.119618695575739,0,0,0.272,0.0909202195743231,1.05009023627868,1.21499989063761
hm48_CWZ3447.3,0.0584342182607542,0,0.000695581006955716,0.0642601109135302,0,0.351515042760613,0.0161895275093445,0.0117222928622895,0,0,0.0679679686613934,0,0,0.287210182271959,0.173456045747593,0.375448244501597,0.0938791161961583,0,0.00478177765030851,0,0.05355584500877,0.137640188855605,0,0.358645127601229,0.938060925445157,1.69675614220687
