consensusClass,cor_pval,separationLevel,LumP,LumNS,LumU,Stroma-rich,Ba/Sq,NE-like
LumP,7.71867496307651e-99,0.623770303859119,0.641867223335151,0.566375328262051,0.567839254471473,0.480002615844137,0.434594640560611,0.212519191836403
LumP,1.07482527071184e-66,0.0877301335996719,0.546627342289872,0.534911943466313,0.510120318255192,0.544512062489945,0.412691529427946,0.22908957735648
LumU,5.76261122578326e-87,0.103429017275088,0.571638704043313,0.605199052631115,0.610304804909087,0.550241314940745,0.372971056785808,0.195769107567541
LumP,5.46119078898811e-53,0.580813218435908,0.49416125890072,0.441230263884796,0.44593163950313,0.381016077043573,0.328201813144371,0.116495668448804
LumP,4.13067074725667e-86,0.510224344152993,0.607885345184934,0.563129569434352,0.552006461977943,0.488328554796698,0.382018161910878,0.152458984274302
LumP,1.25283102811593e-64,0.522489614082204,0.539282036543183,0.482515459342891,0.501571376273659,0.4504699815744,0.514600348870604,0.118078305892757
Stroma-rich,1.04913781139768e-48,0.284074515480976,0.373638022048449,0.411845998968319,0.452128846476556,0.47569315172676,0.357350260152911,0.215636354052568
LumU,4.74884978522598e-83,0.254560124648127,0.568126454693213,0.54197290707479,0.599054203453427,0.413145763690443,0.263149707663529,0.203500755521
Stroma-rich,1.80750341081411e-47,0.124020494326976,0.424025181601079,0.392121541011352,0.381817094559207,0.47014629642838,0.462447980330203,0.163169450674129
Ba/Sq,1.14582342455064e-61,0.84617176713897,0.392510498438789,0.336628757405142,0.34662852669044,0.388973825803956,0.528430481622585,0.148176577191228
Ba/Sq,4.00144080664161e-60,0.236709642309262,0.22346042465027,0.260370670210089,0.252704422563777,0.459632380059253,0.522615627455275,0.250256913558825
LumU,1.99642469944476e-73,0.476705449113188,0.539558097664883,0.539211273637546,0.569359410400305,0.474477246834583,0.405072490493551,0.217381925364926
LumU,1.21425837655788e-60,0.722972109418497,0.442145498695251,0.470927471916045,0.524579860095117,0.458592484390282,0.414132212230202,0.177115431108588
LumP,3.44076670997803e-60,0.459165760333807,0.522864990605533,0.438076695505101,0.478300778692465,0.413543812557658,0.373153127435356,0.208586721512609
LumP,1.14876744897923e-96,0.139000444455383,0.636357887906479,0.610966601117144,0.625720282194451,0.508690589110603,0.444865926402344,0.274161204388699
LumU,4.45596667071996e-54,0.521635307586736,0.463008486870108,0.440226459343575,0.498679024787007,0.420367312973504,0.408789359680102,0.198266419083901
LumNS,1.41948318429694e-62,0.269911968519875,0.517594729806111,0.531796287001371,0.527764030952256,0.51611953927205,0.403381316256616,0.165342803232663
LumP,4.83777283728008e-82,0.3782797954754,0.596084082151522,0.547642865201577,0.553993576446543,0.421988932060866,0.301411779371468,0.141344765052052
LumP,6.67257439559199e-66,0.857470159872247,0.543830323948579,0.510425480592621,0.504622640445848,0.505123125000041,0.440331467936597,0.138645985369381
Ba/Sq,4.52029126998747e-89,0.706164374462568,0.412914408047719,0.366770924636998,0.370490133458946,0.457659544306288,0.616172239064077,0.179113158316104
LumU,1.37764861726851e-58,0.757577783802743,0.476902549904258,0.464981993323103,0.516709742393199,0.463346784370159,0.416447901057186,0.216630200002494
NE-like,1.52794127097953e-55,0.876559232150557,0.0855047763838496,0.0776413014528473,0.163945405014757,0.121460185947719,0.110470369910835,0.504654751604616
LumNS,5.41945109415182e-80,0.0849765563087135,0.57423196862611,0.589948807606756,0.585231376227207,0.494636638482853,0.360789791599974,0.184335147420055
Stroma-rich,8.30814168576768e-56,0.319239626506381,0.414325093555781,0.427206098515345,0.416180326577573,0.50572167030814,0.478896456836394,0.189822677302509
Ba/Sq,7.6422688991816e-62,0.296154499033675,0.427862996017398,0.413251700283274,0.409820991374298,0.49694488734829,0.529086193036152,0.213855467196616
Ba/Sq,1.16633511717631e-34,0.0452865175048083,0.262542759016936,0.291172702644171,0.327742130623239,0.401334465941645,0.40569262331353,0.28065869459147
LumP,3.33066543487462e-53,0.444188881659999,0.495058091778773,0.421493213476893,0.464563968059766,0.386234974213501,0.431320462169844,0.120357550661429
Ba/Sq,4.25020312759343e-79,0.510989067880202,0.280483921203858,0.269826238540281,0.278705429509385,0.430031290025597,0.587229136649444,0.234376020889342
Stroma-rich,1.05218691994459e-55,0.550034106633672,0.462232906976588,0.481549509886639,0.461993181554155,0.505308463980092,0.439153843249059,0.180072669296663
LumP,7.00053895845346e-92,0.442987247530134,0.623814829172428,0.565265231767551,0.571262794603116,0.445102361529995,0.428431237332141,0.158110371422024
LumU,2.52785710467342e-60,0.485316552331234,0.459161744492622,0.482907162697013,0.523373648608441,0.497972570932637,0.45202567519624,0.240289957422611
Ba/Sq,4.92931657456228e-60,0.562363429686522,0.408675509179181,0.39379326103473,0.441893505447153,0.467729255841733,0.522270800067821,0.206734733623513
